Timestamp,Email Address,Full Name,Email Address,Phone Number,Primary Email,Gmail Account,Phone Number,Have you worked on a project with Epic Intentions in the past?,Year,T-Shirt Size (Adult Sizes),Major,Concentration within Major (if applicable),Minor/Certificate,Why are you interested in joining Epic Intentions (2-4 sentences)?,Can you attend the meetings listed?,If you cannot make the 5pm meeting time: How will you contribute to your team and prioritize Epic Intentions to keep up with meetings missed?,Please confirm that you will be able to attend the Epic Intentions Workathon on March 2nd from 12PM-5PM.,In which semesters have you participated in Epic Intentions? ,What types of projects have you done with Epic Intentions?,Draw Change,Agape Youth and Family Center,Africa House,Southface,Camp Kudzu,La Amistad,Giving Kitchen,WonderRoot,Rebuilding,How many hours per week could you dedicate to this project?,Business and Analytics,Computer Science,Please list any skills that have not been mentioned previously.,"Please describe any experience you have working on a team or individual project, such as through research or any other similar endeavor",Please describe any consulting experience you have.,Are you interested in being a Team Leader?,How did you hear about Epic Intentions? ,What are you passionate about?,"What personal skills, experience, knowledge, or resources can you contribute to Epic Intentions, and how will that help you make you a good Team Leader?","How will you prioritize Epic Intentions over other responsibilities that you have (work, school, other organizations)?",Which projects are you interested in leading? ,"Interview slot availability for Friday, January 18th","Interview slot availability for Saturday, January 19th","If these days don't work for you, please list your availability for an interview earlier than Saturday, January 19th"
1/17/2019 11:17:44,email@gatech.edu,Rudy Bush,email@gatech.edu,4045551885,email@gatech.edu,email@gatech.edu,4045551885,No,Third year,L,Computer Science x Chinese,People + Media,Music Technology,Progress through service is my motto. Personal information that doesn’t need to be public.,"Yes, I can attend all the 5pm Wednesday meetings and Final Presentations",,Yes,,,Interested to be placed on this project (willing and excited),"Mildly interested (still willing, but last choice)","Mildly interested (still willing, but last choice)","Mildly interested (still willing, but last choice)","Mildly interested (still willing, but last choice)",Interested (willing and excited),"Mildly interested (still willing, but last choice)","Mildly interested (still willing, but last choice)",Interested (willing and excited),3:00:00,"Photoshop, Social Media, Professional Video Editing","GitHub, HTML, CSS, Java","Chinese, Music Production",Progress through service is my motto. Personal information that doesn’t need to be public.,Progress through service is my motto. Personal information that doesn’t need to be public.,No,Friends,,,,,,,
1/16/2019 19:08:03,email@gatech.edu,Bertha Allen,email@gatech.edu,4045551885,email@gatech.edu,email@gatech.edu,4045551885,No,Second year,S,CS,Artificial Intelligence and Media,,Progress through service is my motto. Personal information that doesn’t need to be public.,"Yes, I can attend all the 5pm Wednesday meetings and Final Presentations",,Yes,,,NOT interested to be placed on this project,"VERY interested (willing, excited, and top choice)",NOT interested,NOT interested,"Mildly interested (still willing, but last choice)","Mildly interested (still willing, but last choice)",NOT interested,Interested (willing and excited),NOT interested,6:00:00,Database Management,"GitHub, Python, HTML, CSS, SQL, Java",,Progress through service is my motto. Personal information that doesn’t need to be public.,Progress through service is my motto. Personal information that doesn’t need to be public.,No,Facebook,,,,,,,
1/6/2019 18:59:54,email@gatech.edu,Lindsay Patrick,email@gatech.edu,4045551885,email@gatech.edu,email@gatech.edu,4045551885,No,First year,S,Industrial and Systems Engineering,,Computer Science,Progress through service is my motto. Personal information that doesn’t need to be public.,"Yes, I can attend all the 5pm Wednesday meetings and Final Presentations",,Yes,,,"VERY interested to be placed on this project (willing, excited, and top choice)",NOT interested,"Mildly interested (still willing, but last choice)",Interested (willing and excited),Interested (willing and excited),NOT interested,Interested (willing and excited),Interested (willing and excited),,6:00:00,"Business Development, Project Management, Visual Design, Marketing Strategies, Technical Writing, Persuasive Writing, Social Media, Professional Video Editing, Filming, Grant Writing, Interviewing","Python, HTML",,Progress through service is my motto. Personal information that doesn’t need to be public.,Progress through service is my motto. Personal information that doesn’t need to be public.,No,,,,,,,,
1/15/2019 17:03:11,email@gatech.edu,Julius Craig,email@gatech.edu,4045551885,email@gatech.edu,email@gatech.edu,4045551885,No,Third year,M,Industrial and Systems Engineering,Supply Chain Engineering,,Progress through service is my motto. Personal information that doesn’t need to be public.,"Yes, I can attend all the 5pm Wednesday meetings and Final Presentations",,Yes,,,"VERY interested to be placed on this project (willing, excited, and top choice)",NOT interested,NOT interested,NOT interested,Interested (willing and excited),NOT interested,NOT interested,NOT interested,NOT interested,5:00:00,"Statistics, Business Development, Project Management, Marketing Strategies, Finances, Social Media",Python,,Progress through service is my motto. Personal information that doesn’t need to be public.,Progress through service is my motto. Personal information that doesn’t need to be public.,No,Email from Georgia Tech,,,,,,,
1/15/2019 17:51:16,email@gatech.edu,Jessie Moreno,email@gatech.edu,4045551885,email@gatech.edu,email@gatech.edu,4045551885,No,First year,L,Industrial and Systems Engineering,,,Progress through service is my motto. Personal information that doesn’t need to be public.,"Yes, I can attend all the 5pm Wednesday meetings and Final Presentations",,Yes,,,NOT interested to be placed on this project,Interested (willing and excited),"VERY interested (willing, excited, and top choice)",NOT interested,Interested (willing and excited),Interested (willing and excited),Interested (willing and excited),"VERY interested (willing, excited, and top choice)",NOT interested,7:00:00,"Statistics, Business Development, Project Management, Marketing Strategies, SWOT Analysis, Accounting, Finances","Python, Java",,Progress through service is my motto. Personal information that doesn’t need to be public.,Progress through service is my motto. Personal information that doesn’t need to be public.,No,,,,,,,,
1/16/2019 17:03:42,email@gatech.edu,Melinda Payne,email@gatech.edu,4045551885,email@gatech.edu,email@gatech.edu,4045551885,No,Second year,XL,Industrial and Systems Engineering,N/A,N/A,Progress through service is my motto. Personal information that doesn’t need to be public.,"Yes, I can attend all the 5pm Wednesday meetings and Final Presentations",I can make the meetings. ,Yes,,,NOT interested to be placed on this project,Interested (willing and excited),"Mildly interested (still willing, but last choice)","Mildly interested (still willing, but last choice)",Interested (willing and excited),"VERY interested (willing, excited, and top choice)","VERY interested (willing, excited, and top choice)",Interested (willing and excited),NOT interested,7:00:00,"Data Analytics, Statistics, Project Management, Wordpress, Database Management, Accounting, Finances, Technical Writing, Social Media","GitHub, Python, HTML, CSS, SQL, R/RStudio (used for statistics)",,Progress through service is my motto. Personal information that doesn’t need to be public.,Progress through service is my motto. Personal information that doesn’t need to be public.,No,,,,,,,,
1/13/2019 16:16:42,email@gatech.edu,Geraldine Lawson,email@gatech.edu,4045551885,email@gatech.edu,email@gatech.edu,4045551885,No,Second year,M,Industrial Design,,Computer Science,Progress through service is my motto. Personal information that doesn’t need to be public.,"Yes, I can attend all the 5pm Wednesday meetings and Final Presentations",,Yes,,,"VERY interested to be placed on this project (willing, excited, and top choice)","VERY interested (willing, excited, and top choice)",NOT interested,NOT interested,"Mildly interested (still willing, but last choice)",NOT interested,NOT interested,"Mildly interested (still willing, but last choice)",Interested (willing and excited),5:00:00,"Project Management, Web Design, Wordpress, Visual Design, Photoshop, SWOT Analysis, Social Media, Canva, Professional Video Editing, Filming","Python, Java","adobe creative cloud, photography, model making, drawing/sketching",Progress through service is my motto. Personal information that doesn’t need to be public.,Progress through service is my motto. Personal information that doesn’t need to be public.,Yes,,,,,,,,
1/7/2019 22:38:26,email@gatech.edu,Derrick Swanson,email@gatech.edu,4045551885,email@gatech.edu,email@gatech.edu,4045551885,No,First year,S,Industrial Engineering,,Computer Science,Progress through service is my motto. Personal information that doesn’t need to be public.,"Yes, I can attend all the 5pm Wednesday meetings and Final Presentations",,Yes,,,NOT interested to be placed on this project,"VERY interested (willing, excited, and top choice)",Interested (willing and excited),NOT interested,NOT interested,NOT interested,"Mildly interested (still willing, but last choice)","VERY interested (willing, excited, and top choice)","Mildly interested (still willing, but last choice)",6:00:00,"Data Analytics, Statistics, Photoshop, SWAT Analysis, Technical Writing, Persuasive Writing, Social Media, Interviewing","Python, HTML, CSS",,Progress through service is my motto. Personal information that doesn’t need to be public.,Progress through service is my motto. Personal information that doesn’t need to be public.,No,I got a facebook invite to attend an information session!,,,,,,,
1/8/2019 23:22:56,email@gatech.edu,Lorraine Delgado,email@gatech.edu,4045551885,email@gatech.edu,email@gatech.edu,4045551885,Yes,Second year,L,Industrial Engineering,,Computer Science & Public Policy,Progress through service is my motto. Personal information that doesn’t need to be public.,"Yes, I can attend all the 5pm Wednesday meetings and Final Presentations",,Yes,"Fall 2017, Spring 2018","Business Plan, Strategy",NOT interested to be placed on this project,Interested (willing and excited),"Mildly interested (still willing, but last choice)","VERY interested (willing, excited, and top choice)",Interested (willing and excited),NOT interested,Interested (willing and excited),"VERY interested (willing, excited, and top choice)",NOT interested,7:30:00,"Data Analytics, Statistics, Web Design, SWOT Analysis, Technical Writing, Persuasive Writing","GitHub, Python, HTML, CSS, SQL, Javascript, Java",Small business owner,Progress through service is my motto. Personal information that doesn’t need to be public.,Progress through service is my motto. Personal information that doesn’t need to be public.,Yes,I have worked with Epic Intentions in Fall 2017 and Spring 2018,,,,,,,
1/13/2019 22:58:04,email@gatech.edu,Grace Estrada,email@gatech.edu,4045551885,email@gatech.edu,email@gatech.edu,4045551885,No,First year,S,Industrial Engineering,,Math,Progress through service is my motto. Personal information that doesn’t need to be public.,"Yes, I can attend all the 5pm Wednesday meetings and Final Presentations",,Yes,,,NOT interested to be placed on this project,Interested (willing and excited),"Mildly interested (still willing, but last choice)","Mildly interested (still willing, but last choice)","Mildly interested (still willing, but last choice)",Interested (willing and excited),Interested (willing and excited),"VERY interested (willing, excited, and top choice)",NOT interested,6:00:00,"Technical Writing, Grant Writing, Interviewing","GitHub, Python, Java",,Progress through service is my motto. Personal information that doesn’t need to be public.,Progress through service is my motto. Personal information that doesn’t need to be public.,No,Georgia Tech Daily Digest,,,,,,,
1/15/2019 10:53:47,email@gatech.edu,Jonathan Riley,email@gatech.edu,4045551885,email@gatech.edu,email@gatech.edu,4045551885,No,First year,M,Industrial Engineering,undecided,,Progress through service is my motto. Personal information that doesn’t need to be public.,"No, I have class","I have a class that ends at 5:20 so I will go directly from there to the meetings. I will contribute ideas, time, and resources to the project, and anything that needs to be done prior to meetings-- whether it be creating a quick summary of our progress, or a presentation detailing our ideas. I will be apt to communicate my ideas with others in my group and keep up with all decisions.",90% positive but will not be 100% until a few weeks prior to the event.,,,"Mildly interested to be placed on this project (still willing, but last choice)","Mildly interested (still willing, but last choice)",NOT interested,"Mildly interested (still willing, but last choice)","Mildly interested (still willing, but last choice)",Interested (willing and excited),"VERY interested (willing, excited, and top choice)","VERY interested (willing, excited, and top choice)","Mildly interested (still willing, but last choice)",6:00:00,"Visual Design, Social Media, Canva, Photography, Fundraising Strategies, Event Planning ",,,Progress through service is my motto. Personal information that doesn’t need to be public.,Progress through service is my motto. Personal information that doesn’t need to be public.,No,ISYE Job announcements via canvas,,,,,,,
1/15/2019 11:21:33,email@gatech.edu,Maurice Cobb,email@gatech.edu,4045551885,email@gatech.edu,email@gatech.edu,4045551885,No,First year,L,Industrial Engineering,,Spanish,Progress through service is my motto. Personal information that doesn’t need to be public.,"No, I have class",I will contribute by committing extra time to my projects and making sure that all the presentations are fully prepared before the meeting and that someone is prepared and willing to present my part of the project. ,"I am 90% certain I will be able to attend, but I won't know for sure until a little bit closer to the event.",,,"Mildly interested to be placed on this project (still willing, but last choice)",Interested (willing and excited),"Mildly interested (still willing, but last choice)","Mildly interested (still willing, but last choice)","Mildly interested (still willing, but last choice)","VERY interested (willing, excited, and top choice)","VERY interested (willing, excited, and top choice)","VERY interested (willing, excited, and top choice)",Interested (willing and excited),7:00:00,"Persuasive Writing, Social Media, Interviewing","Python, Javascript",I am very good at communication and teamwork.,Progress through service is my motto. Personal information that doesn’t need to be public.,Progress through service is my motto. Personal information that doesn’t need to be public.,No,ISYE Jobs and Announcements,,,,,,,
1/15/2019 11:24:28,email@gatech.edu,Zachary Sandoval,email@gatech.edu,4045551885,email@gatech.edu,email@gatech.edu,4045551885,No,First year,L,Industrial Engineering,Economic and Financial Systems,Economics or Computer Science,Progress through service is my motto. Personal information that doesn’t need to be public.,"Yes, I can attend all the 5pm Wednesday meetings and Final Presentations",,Yes,,,Interested to be placed on this project (willing and excited),"Mildly interested (still willing, but last choice)","VERY interested (willing, excited, and top choice)","Mildly interested (still willing, but last choice)",Interested (willing and excited),Interested (willing and excited),Interested (willing and excited),Interested (willing and excited),NOT interested,5:00:00,"Business Development, Persuasive Writing, Social Media, Public Speaking, Leadership, Microsoft Powerpoint, Word",Python,,Progress through service is my motto. Personal information that doesn’t need to be public.,Progress through service is my motto. Personal information that doesn’t need to be public.,No,Faculty email,,,,,,,
1/15/2019 11:45:35,email@gatech.edu,Christina Alvarez,email@gatech.edu,4045551885,email@gatech.edu,email@gatech.edu,4045551885,No,Third year,L,Industrial Engineering,,Sci Fi,Progress through service is my motto. Personal information that doesn’t need to be public.,"Yes, I can attend all the 5pm Wednesday meetings and Final Presentations",,Yes,,,"Mildly interested to be placed on this project (still willing, but last choice)","Mildly interested (still willing, but last choice)",NOT interested,"VERY interested (willing, excited, and top choice)","Mildly interested (still willing, but last choice)",NOT interested,Interested (willing and excited),"Mildly interested (still willing, but last choice)","Mildly interested (still willing, but last choice)",5:00:00,"Statistics, Web Design, Wordpress, Accounting, Finances, Technical Writing, Persuasive Writing, Professional Video Editing","Python, HTML, CSS, SQL",,Progress through service is my motto. Personal information that doesn’t need to be public.,Progress through service is my motto. Personal information that doesn’t need to be public.,No,Email,,,,,,,
1/16/2019 13:51:55,email@gatech.edu,Kelley Banks,email@gatech.edu,4045551885,email@gatech.edu,email@gatech.edu,4045551885,No,First year,S,Industrial Engineering,,,Progress through service is my motto. Personal information that doesn’t need to be public.,"Yes, I can attend all the 5pm Wednesday meetings and Final Presentations",,Yes,,,"Mildly interested to be placed on this project (still willing, but last choice)",Interested (willing and excited),NOT interested,NOT interested,"Mildly interested (still willing, but last choice)","Mildly interested (still willing, but last choice)",Interested (willing and excited),"VERY interested (willing, excited, and top choice)",NOT interested,10:00:00,"Statistics, Web Design, Social Media","HTML, CSS",,Progress through service is my motto. Personal information that doesn’t need to be public.,Progress through service is my motto. Personal information that doesn’t need to be public.,No,From a friend (Mehdi Harley),,,,,,,
1/16/2019 20:50:16,email@gatech.edu,Diane Walton,email@gatech.edu,4045551885,email@gatech.edu,email@gatech.edu,4045551885,No,Third year,M,Industrial Engineering,Undeclared,N/A,Progress through service is my motto. Personal information that doesn’t need to be public.,"Yes, I can attend all the 5pm Wednesday meetings and Final Presentations",N/A,Yes,,,"VERY interested to be placed on this project (willing, excited, and top choice)","VERY interested (willing, excited, and top choice)","Mildly interested (still willing, but last choice)",NOT interested,"Mildly interested (still willing, but last choice)","VERY interested (willing, excited, and top choice)","Mildly interested (still willing, but last choice)","Mildly interested (still willing, but last choice)",NOT interested,6:00:00,"Data Analytics, Statistics, Project Management, Wordpress, Database Management, Technical Writing, Social Media","GitHub, Python, HTML, SQL","Planning, time management, delegating, communicating, presenting, logical reasoning.",Progress through service is my motto. Personal information that doesn’t need to be public.,Progress through service is my motto. Personal information that doesn’t need to be public.,Yes,Facebook,,,,,,,
1/17/2019 1:59:12,email@gatech.edu,Jane Jackson,email@gatech.edu,4045551885,email@gatech.edu,email@gatech.edu,4045551885,Yes,Second year,M,Industrial Engineering,Analytics or Supply Chain,International Affairs,Progress through service is my motto. Personal information that doesn’t need to be public.,"No, I have class","On days that we have presentations, I can get out of class a bit earlier and come to Skiles. I will also make sure to do work outside of these presentations and contribute at team meetings",Yes,"Spring 2018, Fall 2018","Database, Marketing, Strategy",NOT interested to be placed on this project,NOT interested,"VERY interested (willing, excited, and top choice)",NOT interested,Interested (willing and excited),"Mildly interested (still willing, but last choice)",Interested (willing and excited),Interested (willing and excited),NOT interested,5:00:00,"Data Analytics, Statistics, Business Development, Project Management, Marketing Strategies, Accounting, Finances, Social Media","Python, HTML, CSS, SQL",,Progress through service is my motto. Personal information that doesn’t need to be public.,Progress through service is my motto. Personal information that doesn’t need to be public.,No,Word of mouth/people in the org,,,,,,,
1/17/2019 11:52:22,email@gatech.edu,Ed Hamilton,email@gatech.edu,4045551885,email@gatech.edu,email@gatech.edu,4045551885,No,First year,M,Industrial Engineering,Hopefully operations research,"Haven't officially declared yet, but Minor in Spanish, currently in Spanish Conversation 1",Progress through service is my motto. Personal information that doesn’t need to be public.,"No, I have class","I consider communication to be one of my strong suits, so I would fully communicate my ideas and my progress with my team so they would know how I am contributing. I would also ask team members about information missed. ",I am required to go to dance marathon!,,,NOT interested to be placed on this project,"VERY interested (willing, excited, and top choice)",NOT interested,NOT interested,"Mildly interested (still willing, but last choice)","VERY interested (willing, excited, and top choice)","Mildly interested (still willing, but last choice)",Interested (willing and excited),NOT interested,4:00:00,"Web Design, Visual Design, took graphic design in high school, and had my own business (not super professional and not a lot of guidance with it, but a little experience)","Python, in CS 1301 - just started learning python!",communication (presentation),Progress through service is my motto. Personal information that doesn’t need to be public.,Progress through service is my motto. Personal information that doesn’t need to be public.,No,facebook! and talked to Elizabeth Osman about it. ,,,,,,,
1/17/2019 14:44:57,email@gatech.edu,Lyle Joseph,email@gatech.edu,4045551885,email@gatech.edu,email@gatech.edu,4045551885,No,Second year,S,Industrial Engineering,Analytics,N/A,Progress through service is my motto. Personal information that doesn’t need to be public.,"Yes, I can attend all the 5pm Wednesday meetings and Final Presentations",,Yes,,,NOT interested to be placed on this project,"Mildly interested (still willing, but last choice)","Mildly interested (still willing, but last choice)","VERY interested (willing, excited, and top choice)","Mildly interested (still willing, but last choice)","Mildly interested (still willing, but last choice)",Interested (willing and excited),NOT interested,NOT interested,5:00:00,"Data Analytics, Web Design, Database Management, Accounting","Python, SQL",,Progress through service is my motto. Personal information that doesn’t need to be public.,Progress through service is my motto. Personal information that doesn’t need to be public.,No,I received an email about it. ,,,,,,,
1/17/2019 14:47:26,email@gatech.edu,Cynthia Webb,email@gatech.edu,4045551885,email@gatech.edu,email@gatech.edu,4045551885,No,Fourth Year,M,Industrial Engineering,Supply Chain,,Progress through service is my motto. Personal information that doesn’t need to be public.,"Yes, I can attend all the 5pm Wednesday meetings and Final Presentations",,not sure,,"Database, Web Development, Strategy",NOT interested to be placed on this project,"VERY interested (willing, excited, and top choice)","Mildly interested (still willing, but last choice)",NOT interested,NOT interested,NOT interested,NOT interested,NOT interested,"Mildly interested (still willing, but last choice)",4:00:00,Data Analytics,"Python, SQL",,Progress through service is my motto. Personal information that doesn’t need to be public.,Progress through service is my motto. Personal information that doesn’t need to be public.,No,by email,,,,,,,
1/17/2019 14:52:18,email@gatech.edu,Kendra Rodriguez,email@gatech.edu,4045551885,email@gatech.edu,email@gatech.edu,4045551885,No,First year,L,Industrial Engineering,,"Interested in a CS minor, but not sure yet",Progress through service is my motto. Personal information that doesn’t need to be public.,"No, I have lab, but I think that many weeks I would be able to come late when lab ends early","I will contact the other members of my team very frequently to hear what I missed.  I will also try to find other times to meet with the group so that I can contribute my ideas and work, as well as work on aspects of the project on my own (as the project permits). ",Yes,,,Interested to be placed on this project (willing and excited),Interested (willing and excited),"Mildly interested (still willing, but last choice)",Interested (willing and excited),"VERY interested (willing, excited, and top choice)","Mildly interested (still willing, but last choice)",Interested (willing and excited),Interested (willing and excited),"Mildly interested (still willing, but last choice)",12:00:00,"Wordpress, Photoshop, Persuasive Writing, Social Media",Python,"For accounting, I have knowledge of Quickbooks.",Progress through service is my motto. Personal information that doesn’t need to be public.,Progress through service is my motto. Personal information that doesn’t need to be public.,No,ISYE Announcements Canvas Page,,,,,,,
1/17/2019 18:33:16,email@gatech.edu,Sue Herrera,email@gatech.edu,4045551885,email@gatech.edu,email@gatech.edu,4045551885,No,First year,M,Industrial Engineering,,,Progress through service is my motto. Personal information that doesn’t need to be public.,"Yes, I can attend all the 5pm Wednesday meetings and Final Presentations",,Yes,,,"VERY interested to be placed on this project (willing, excited, and top choice)",Interested (willing and excited),Interested (willing and excited),NOT interested,NOT interested,NOT interested,Interested (willing and excited),"VERY interested (willing, excited, and top choice)",NOT interested,5:00:00,"Wordpress, Visual Design, Social Media","Python, MATLAB","Autodesk AutoCad, Corel Draw, Microsoft Excel, Word, Powerpoint",Progress through service is my motto. Personal information that doesn’t need to be public.,Progress through service is my motto. Personal information that doesn’t need to be public.,No,email,,,,,,,
1/17/2019 22:31:55,email@gatech.edu,Nancy Park,email@gatech.edu,4045551885,email@gatech.edu,email@gatech.edu,4045551885,No,First year,M,Industrial Engineering,,,Progress through service is my motto. Personal information that doesn’t need to be public.,"No, I have class","I will constantly contact my team to find out whatever information I missed as well as schedule another makeup meeting between just my group so as to be able to discuss the decisions and ideas I missed. Once I receive the information that I missed, I will provide my thoughts on the topic as well as project ideas for the topics in the near future that I may have to miss because I am not able to attend the meetings. ",Yes,,,Interested to be placed on this project (willing and excited),"Mildly interested (still willing, but last choice)",NOT interested,Interested (willing and excited),Interested (willing and excited),NOT interested,"Mildly interested (still willing, but last choice)","Mildly interested (still willing, but last choice)",Interested (willing and excited),4:00:00,"Wordpress, Persuasive Writing, Social Media, Canva",Python,"Capable of speaking almost fluent mandarin, can read and write Spanish relatively well and has intermediate level speaking capabilities.",Progress through service is my motto. Personal information that doesn’t need to be public.,Progress through service is my motto. Personal information that doesn’t need to be public.,No,From a friend who's also in IE at Tech,,,,,,,
1/17/2019 22:44:22,email@gatech.edu,Terrance Mack,email@gatech.edu,4045551885,email@gatech.edu,email@gatech.edu,4045551885,No,First year,M,Industrial Engineering,,,Progress through service is my motto. Personal information that doesn’t need to be public.,"Yes, I can attend all the 5pm Wednesday meetings and Final Presentations",,Yes,,,"Mildly interested to be placed on this project (still willing, but last choice)","VERY interested (willing, excited, and top choice)",Interested (willing and excited),Interested (willing and excited),"Mildly interested (still willing, but last choice)",Interested (willing and excited),Interested (willing and excited),Interested (willing and excited),"Mildly interested (still willing, but last choice)",6:00:00,"Data Analytics, Statistics, Technical Writing, Persuasive Writing, Public Speaking, Debating","Python, HTML, Java",Microsoft Word & Excel,Progress through service is my motto. Personal information that doesn’t need to be public.,Progress through service is my motto. Personal information that doesn’t need to be public.,No,I heard about Epic Intentions through the information session event posted on Facebook.,,,,,,,
1/17/2019 23:01:58,email@gatech.edu,Lori Gutierrez,email@gatech.edu,4045551885,email@gatech.edu,email@gatech.edu,4045551885,No,First year,M,Industrial Engineering,,,Progress through service is my motto. Personal information that doesn’t need to be public.,"No, I have class","Even though I have a lab and cannot make it to the meetings, I would do anything and everything possible to make up for the missed time period. I would keep up with the team through various virtual methods like google docs, group me etc. I would make sure to complete the work assigned to me on time.",Yes,,,NOT interested to be placed on this project,NOT interested,Interested (willing and excited),Interested (willing and excited),Interested (willing and excited),"Mildly interested (still willing, but last choice)","VERY interested (willing, excited, and top choice)",Interested (willing and excited),Interested (willing and excited),6:00:00,"Data Analytics, Project Management, Marketing Strategies, Technical Writing, Interviewing, Competitive Positioning Analysis",Python,,Progress through service is my motto. Personal information that doesn’t need to be public.,Progress through service is my motto. Personal information that doesn’t need to be public.,No,,,,,,,,
1/17/2019 23:40:57,email@gatech.edu,Lynda Brown,email@gatech.edu,4045551885,email@gatech.edu,email@gatech.edu,4045551885,No,Third year,S,Industrial Engineering,Undecided,,Progress through service is my motto. Personal information that doesn’t need to be public.,"Yes, I can attend all the 5pm Wednesday meetings and Final Presentations",,Yes,,,"Mildly interested to be placed on this project (still willing, but last choice)","Mildly interested (still willing, but last choice)","Mildly interested (still willing, but last choice)","VERY interested (willing, excited, and top choice)","VERY interested (willing, excited, and top choice)","VERY interested (willing, excited, and top choice)",Interested (willing and excited),"Mildly interested (still willing, but last choice)","Mildly interested (still willing, but last choice)",5:00:00,"Statistics, Persuasive Writing",Python,,Progress through service is my motto. Personal information that doesn’t need to be public.,Progress through service is my motto. Personal information that doesn’t need to be public.,No,Canvas,,,,,,,
1/19/2019 20:33:16,email@gatech.edu,Willie Gregory,email@gatech.edu,4045551885,email@gatech.edu,email@gatech.edu,4045551885,No,First year,M,Industrial Engineering,,,Progress through service is my motto. Personal information that doesn’t need to be public.,"Yes, I can attend all the 5pm Wednesday meetings and Final Presentations",,Yes,,,NOT interested to be placed on this project,"Mildly interested (still willing, but last choice)",Interested (willing and excited),Interested (willing and excited),NOT interested,Interested (willing and excited),"VERY interested (willing, excited, and top choice)",Interested (willing and excited),NOT interested,3:00:00,"Data Analytics, Statistics, Social Media","Python, SAS and R",,Progress through service is my motto. Personal information that doesn’t need to be public.,Progress through service is my motto. Personal information that doesn’t need to be public.,No,,,,,,,,
1/14/2019 2:49:47,email@gatech.edu,Jason Cortez,email@gatech.edu,4045551885,email@gatech.edu,email@gatech.edu,4045551885,No,Third year,S,Industrial Engineering ,Supply Chain ,Finance Certificate ,Progress through service is my motto. Personal information that doesn’t need to be public.,"Yes, I can attend all the 5pm Wednesday meetings and Final Presentations",,Yes,,,"Mildly interested to be placed on this project (still willing, but last choice)","VERY interested (willing, excited, and top choice)",NOT interested,NOT interested,NOT interested,NOT interested,NOT interested,NOT interested,NOT interested,5:00:00,"Data Analytics, Business Development, Project Management, Wordpress, Photoshop, Marketing Strategies, Database Management, Social Media","Python, HTML, SQL",,Progress through service is my motto. Personal information that doesn’t need to be public.,Progress through service is my motto. Personal information that doesn’t need to be public.,No,Friend,,,,,,,
1/15/2019 11:13:48,email@gatech.edu,Delbert Parks,email@gatech.edu,4045551885,email@gatech.edu,email@gatech.edu,4045551885,No,Third year,S,Industrial engineering ,,,Progress through service is my motto. Personal information that doesn’t need to be public.,"Yes, I can attend all the 5pm Wednesday meetings and Final Presentations",,Yes,,,Interested to be placed on this project (willing and excited),Interested (willing and excited),NOT interested,NOT interested,"Mildly interested (still willing, but last choice)",NOT interested,NOT interested,NOT interested,Interested (willing and excited),8:00:00,"Photoshop, Social Media","Python, HTML, SQL",,Progress through service is my motto. Personal information that doesn’t need to be public.,Progress through service is my motto. Personal information that doesn’t need to be public.,Yes,Email List,,,,,,,
1/15/2019 17:51:15,email@gatech.edu,Amanda Parsons,email@gatech.edu,4045551885,email@gatech.edu,email@gatech.edu,4045551885,No,First year,S,ISyE,,Spanish,Progress through service is my motto. Personal information that doesn’t need to be public.,"Yes, I can attend all the 5pm Wednesday meetings and Final Presentations",,Yes,,,NOT interested to be placed on this project,Interested (willing and excited),"VERY interested (willing, excited, and top choice)",NOT interested,Interested (willing and excited),"VERY interested (willing, excited, and top choice)",Interested (willing and excited),"Mildly interested (still willing, but last choice)",NOT interested,7:00:00,"Project Management, Persuasive Writing, Social Media, Interviewing","Python, HTML, CSS",,Progress through service is my motto. Personal information that doesn’t need to be public.,Progress through service is my motto. Personal information that doesn’t need to be public.,No,I received an email from ISyE jobs and announcements,,,,,,,
1/16/2019 1:29:27,email@gatech.edu,Donald Mann,email@gatech.edu,4045551885,email@gatech.edu,email@gatech.edu,4045551885,No,Second year,M,ISYE,,Global Development,Progress through service is my motto. Personal information that doesn’t need to be public.,"No, I have class",I will ask to meet at a different time (I can do just 30 minutes later!) and be in constant contact with my teammates every step of the way.,"No, but I will make sure to have my work done and talked to my teammates about it beforehand!",,,NOT interested to be placed on this project,NOT interested,"VERY interested (willing, excited, and top choice)",Interested (willing and excited),NOT interested,NOT interested,Interested (willing and excited),Interested (willing and excited),NOT interested,5:00:00,"Data Analytics, Statistics, Project Management, Database Management, Persuasive Writing, Interviewing","Python, SQL, Java, MATLAB","Mathematical Modeling, Excel",Progress through service is my motto. Personal information that doesn’t need to be public.,Progress through service is my motto. Personal information that doesn’t need to be public.,No,Email,,,,,,,
